24.02.2016 14:35:20; INFO; 0; Fire Event Mitsubishi 90-JL-092  ALARM (Нажата кнопка тревоги )
24.02.2016 14:36:20; INFO; 0; Reset Event Mitsubishi 90-JL-092  ALARM (Нажата кнопка тревоги )
24.02.2016 14:36:44; INFO; 0; Fire Event Mitsubishi 90-JL-092  ALARM (Нажата кнопка тревоги )
24.02.2016 17:14:26; INFO; 0; Reset Event Mitsubishi 90-JL-092  ALARM (Нажата кнопка тревоги )
24.02.2016 17:26:37; INFO; 0; Fire Event Mitsubishi 90-JL-092  ALARM (Нажата кнопка тревоги )
24.02.2016 17:27:38; INFO; 0; Reset Event Mitsubishi 90-JL-092  ALARM (Нажата кнопка тревоги )
04.03.2016 10:28:30; WARNING; 0; EventMgr запущен
17.03.2016 21:34:54; WARNING; 0; EventMgr started
17.03.2016 23:06:29; WARNING; 0; EventMgr started
18.03.2016 06:54:42; WARNING; 0; EventMgr started
18.03.2016 07:15:35; WARNING; 0; EventMgr started
18.03.2016 07:25:01; WARNING; 0; EventMgr started
18.03.2016 07:46:40; WARNING; 0; EventMgr started
18.03.2016 09:40:07; WARNING; 0; EventMgr started
18.03.2016 10:25:31; WARNING; 0; EventMgr started
18.03.2016 12:06:24; WARNING; 0; EventMgr started
18.03.2016 12:10:18; WARNING; 0; EventMgr started
18.03.2016 12:15:01; WARNING; 0; EventMgr started
18.03.2016 12:15:07; WARNING; 0; EventMgr started
18.03.2016 12:20:04; WARNING; 0; EventMgr started
18.03.2016 12:25:12; WARNING; 0; EventMgr started
18.03.2016 12:33:07; WARNING; 0; EventMgr started
18.03.2016 12:58:56; WARNING; 0; EventMgr started
18.03.2016 13:05:57; WARNING; 0; EventMgr started
18.03.2016 13:16:50; WARNING; 0; EventMgr started
18.03.2016 13:33:39; WARNING; 0; EventMgr started
18.03.2016 13:44:01; WARNING; 0; EventMgr started
18.03.2016 13:50:36; WARNING; 0; EventMgr started
18.03.2016 13:55:25; WARNING; 0; EventMgr started
18.03.2016 13:58:36; WARNING; 0; EventMgr started
18.03.2016 14:05:33; WARNING; 0; EventMgr started
18.03.2016 14:16:00; WARNING; 0; EventMgr started
18.03.2016 14:27:16; WARNING; 0; EventMgr started
18.03.2016 14:43:29; WARNING; 0; EventMgr started
18.03.2016 15:52:11; WARNING; 0; EventMgr started
18.03.2016 16:36:39; WARNING; 0; EventMgr started
18.03.2016 16:40:14; WARNING; 0; EventMgr started
18.03.2016 16:55:45; WARNING; 0; EventMgr started
18.03.2016 17:00:17; WARNING; 0; EventMgr started
18.03.2016 17:02:28; WARNING; 0; EventMgr started
18.03.2016 17:04:09; WARNING; 0; EventMgr started
18.03.2016 17:05:25; WARNING; 0; EventMgr started
18.03.2016 17:26:03; WARNING; 0; EventMgr started
18.03.2016 17:31:30; WARNING; 0; EventMgr started
18.03.2016 18:35:13; WARNING; 0; EventMgr started
18.03.2016 18:46:49; WARNING; 0; EventMgr started
18.03.2016 19:43:39; WARNING; 0; EventMgr started
18.03.2016 19:52:27; WARNING; 0; EventMgr started
18.03.2016 19:58:00; WARNING; 0; EventMgr started
