16.02.2016 16:13:36; WARNING; 0; LogsCleaner запущен
16.02.2016 16:15:02; WARNING; 0; LogsCleaner запущен
16.02.2016 16:16:46; WARNING; 0; LogsCleaner запущен
16.02.2016 19:46:11; WARNING; 0; LogsCleaner запущен
16.02.2016 19:46:15; WARNING; 0; LogsCleaner запущен
16.02.2016 19:49:35; INFO; 0; Начата очистка лога
16.02.2016 19:52:19; WARNING; 0; LogsCleaner запущен
16.02.2016 19:55:39; INFO; 0; Начата очистка лога
16.02.2016 19:57:39; WARNING; 0; LogsCleaner запущен
16.02.2016 20:00:59; INFO; 0; Начата очистка лога
16.02.2016 20:20:31; INFO; 0; Успешно проведена очистка лога
16.02.2016 21:08:27; WARNING; 0; LogsCleaner запущен
16.02.2016 21:09:07; WARNING; 0; LogsCleaner запущен
16.02.2016 21:12:27; INFO; 0; Начата очистка лога
16.02.2016 21:31:55; INFO; 0; Успешно проведена очистка лога
17.02.2016 10:43:20; WARNING; 0; LogsCleaner запущен
17.02.2016 10:46:40; INFO; 0; Начата очистка лога
17.02.2016 10:57:06; WARNING; 0; LogsCleaner запущен
17.02.2016 11:04:43; WARNING; 0; LogsCleaner запущен
17.02.2016 11:08:03; INFO; 0; Начата очистка лога
17.02.2016 11:27:39; INFO; 0; Успешно проведена очистка лога
17.02.2016 12:56:46; WARNING; 0; LogsCleaner запущен
17.02.2016 12:57:09; WARNING; 0; LogsCleaner запущен
18.02.2016 13:01:41; WARNING; 0; LogsCleaner запущен
18.02.2016 13:02:32; WARNING; 0; LogsCleaner запущен
18.02.2016 13:05:52; INFO; 0; Начата очистка лога
18.02.2016 13:06:26; WARNING; 0; LogsCleaner запущен
18.02.2016 13:09:46; INFO; 0; Начата очистка лога
18.02.2016 13:29:33; INFO; 0; Успешно проведена очистка лога
18.02.2016 14:56:35; WARNING; 0; LogsCleaner запущен
18.02.2016 14:59:55; INFO; 0; Начата очистка лога
18.02.2016 15:10:10; WARNING; 0; LogsCleaner запущен
18.02.2016 15:13:30; INFO; 0; Начата очистка лога
21.02.2016 14:04:06; WARNING; 0; LogsCleaner запущен
21.02.2016 14:06:14; WARNING; 0; LogsCleaner запущен
21.02.2016 14:09:34; INFO; 0; Начата очистка лога
21.02.2016 14:29:27; INFO; 0; Успешно проведена очистка лога
22.02.2016 07:45:35; WARNING; 0; LogsCleaner запущен
22.02.2016 07:48:55; INFO; 0; Начата очистка лога
22.02.2016 08:08:31; INFO; 0; Успешно проведена очистка лога
22.02.2016 21:57:32; WARNING; 0; LogsCleaner запущен
22.02.2016 22:00:52; INFO; 0; Начата очистка лога
22.02.2016 22:20:28; INFO; 0; Успешно проведена очистка лога
23.02.2016 16:22:57; WARNING; 0; LogsCleaner запущен
23.02.2016 16:26:17; INFO; 0; Начата очистка лога
23.02.2016 16:45:56; INFO; 0; Успешно проведена очистка лога
23.02.2016 22:13:36; WARNING; 0; LogsCleaner запущен
23.02.2016 22:15:20; WARNING; 0; LogsCleaner запущен
23.02.2016 22:18:40; INFO; 0; Начата очистка лога
23.02.2016 22:38:11; INFO; 0; Успешно проведена очистка лога
24.02.2016 11:16:59; WARNING; 0; LogsCleaner запущен
24.02.2016 11:20:19; INFO; 0; Начата очистка лога
24.02.2016 11:35:20; WARNING; 0; LogsCleaner запущен
24.02.2016 11:38:40; INFO; 0; Начата очистка лога
24.02.2016 11:58:07; INFO; 0; Успешно проведена очистка лога
24.02.2016 14:34:20; WARNING; 0; LogsCleaner запущен
24.02.2016 14:37:40; INFO; 0; Начата очистка лога
24.02.2016 14:57:10; INFO; 0; Успешно проведена очистка лога
04.03.2016 10:28:30; WARNING; 0; LogsCleaner запущен
04.03.2016 10:31:50; INFO; 0; Начата очистка лога
17.03.2016 21:34:56; WARNING; 0; LogsCleaner started
17.03.2016 21:38:16; INFO; 0; Начата очистка лога
17.03.2016 21:38:16; INFO; 0; Успешно проведена очистка лога
17.03.2016 23:06:29; WARNING; 0; LogsCleaner started
17.03.2016 23:09:49; INFO; 0; Начата очистка лога
17.03.2016 23:09:49; INFO; 0; Успешно проведена очистка лога
18.03.2016 06:54:43; WARNING; 0; LogsCleaner started
18.03.2016 06:58:03; INFO; 0; Начата очистка лога
18.03.2016 06:58:03; INFO; 0; Успешно проведена очистка лога
18.03.2016 07:15:35; WARNING; 0; LogsCleaner started
18.03.2016 07:18:55; INFO; 0; Начата очистка лога
18.03.2016 07:18:55; INFO; 0; Успешно проведена очистка лога
18.03.2016 07:25:02; WARNING; 0; LogsCleaner started
18.03.2016 07:46:41; WARNING; 0; LogsCleaner started
18.03.2016 09:40:07; WARNING; 0; LogsCleaner started
18.03.2016 09:43:27; INFO; 0; Начата очистка лога
18.03.2016 09:43:27; INFO; 0; Успешно проведена очистка лога
18.03.2016 10:25:31; WARNING; 0; LogsCleaner started
18.03.2016 10:28:51; INFO; 0; Начата очистка лога
18.03.2016 10:28:51; INFO; 0; Успешно проведена очистка лога
18.03.2016 12:06:24; WARNING; 0; LogsCleaner started
18.03.2016 12:09:44; INFO; 0; Начата очистка лога
18.03.2016 12:09:47; INFO; 0; Успешно проведена очистка лога
18.03.2016 12:10:18; WARNING; 0; LogsCleaner started
